ESTACAO;UF;MUNICIPIO;NOME;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE«O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
RVD;GO;RIO VERDE;RIO VERDE;Instalado;2018-12-17 14:38:41 UTC;2019-09-23 15:04:28 UTC;-177959017;-509299553;RUA JOAQUIM SILVEIRA LEAO, 324, S CENTRAL, RIO VERDE - GO 75905590;N„o;Sala, Sala, Sala, Sala, Sala;01, ANDAR/RVD/TT/01, ANDAR/RVD/TT/1, EST/RVD/NI/NI
SAF;GO;APARECIDA DE GOIANIA;SETOR DOS AFONSOS;Instalado;2018-12-13 20:50:23 UTC;2019-06-17 15:43:00 UTC;-167384777;-492678061;AVENIDA C 198 Q 534, 15, JARDIM AMERICA, GOIANIA - GO 74270040;N„o;Sala, Sala, Sala;EST/SAF/NI/NI
SAJ;RS;PORTO ALEGRE;SAO JOAO - P ALEGRE;Instalado;2022-03-22 18:16:02 UTC;2022-04-28 14:13:40 UTC;-300074904;-511925267;AVENIDA BRASIL, 1506, SAO GERALDO, PORTO ALEGRE - RS 90230060;N„o;Sala, Sala, Sala, Sala, Sala;ANDAR/SAJ/01/TX, ANDAR/SAJ/TT/CD, ANDAR/SAJ/TT/TX, CD
SAL;ES;GUARAPARI;SIMOES DE ALMEIDA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-203939;-40301;0;N„o;0;0
SAN;ES;GUARAPARI;SANTO ANTONIO;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-203939;-40301;0;N„o;0;0
SAT;RN;NATAL;SATELITE;Instalado;2014-04-05 19:37:22 UTC;2020-04-15 12:28:01 UTC;-58645773;-352315928;RUA PEROBA, SN, PITIMBU, NATAL - RN 59068490;N„o;Sala, Sala, Sala, Sala, Sala;Datacom, EST/SAT/NI/NI, Metro, RSAT1_TROPICO RA, TRANSMISSAO - TERREO
SCR;MG;BELO HORIZONTE;SAO CRISTOVAO;Instalado;2014-04-05 20:46:08 UTC;2022-11-30 20:09:31 UTC;-199023324;-43942481;RUA FORMIGA, 555, SAO CRISTOVAO, BELO HORIZONTE - MG 31110430 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;442, 444, Datacom, EST/SCR/NI/NI, Metro, Newbridge, PCM 8 / T√âRREO, RJO, TRANSMISSAO - TERREO
SCR2;RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL-SAC;Instalado;2014-04-05 22:18:49 UTC;2020-09-09 16:53:50 UTC;-297178661;-524312126;RUA VENANCIO AIRES, 711, CENTRO, SANTA CRUZ DO SUL - RS 96810124 ;N„o;Sala, Sala, Sala, Sala;ANDAR/SCR2/01/TX, ANDAR/SCR2/03/TX
SCW;MG;UBA;SANTA CRUZ;Instalado;2014-04-05 20:45:45 UTC;2019-01-28 16:28:16 UTC;-21118359;-429498336;AVENIDA GOVERNADOR VALADARES, 903, CENTRO, UBA - MG 36500107;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS, Datacom, EST/SCW/NI/NI, Metro, Newbridge, TRANSMISSAO-2ANDAR, TRANSMISS√ÉO - T√âRREO, UBA01_COMUTACAO_ AXE FISICA
SCZ;MG;BELO HORIZONTE;SANTA CRUZ;Instalado;2014-04-05 20:46:09 UTC;2014-04-05 20:46:09 UTC;-198798858;-439417827;0;N„o;Sala, Sala, Sala;COMUTACAO, Datacom, PRESSURIZACAO
