ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
JUI;SP;JUNDIAI;VTAL PQE RES JUNDIAI;Netwin;Instalado;2022-05-18 16:59:12 UTC;2023-01-18 19:41:48 UTC;-2.314.641;-4.700.572;AVENIDA EUNICE CAVALCANTE DE SOUZA QUEIROZ, 1124, PQE RES JUNDIAI, JUNDIAI - SP 13212463 ;Não;Sala;SALA TX
PVH;SP;JUNDIAI;PEGASUS VILA DAS HORTENCIAS;Netwin;Instalado;2023-02-04 13:53:55 UTC;2023-02-24 19:46:52 UTC;-2.317.878;-4.691.274;RUA DO RETIRO, 2905, VILA DAS HORTENCIAS, JUNDIAI - SP 13209355 ;Não;Sala;SALA TX
TSF;SP;JUNDIAI;VTAL TSF FTTH;Netwin;Instalado;2023-03-07 14:32:29 UTC;2023-08-07 20:21:14 UTC;-231.727.122;-46.829.244;;Não;Sala;SALA TX
LG78;SC;LAGES;LAGES PETROPOLIS -ARM DIG 78 - CABO P78;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-22.988;-431.519;;Não;;
LGS;SC;LAGES;LAGES;Netwin;Instalado;2016-08-21 15:07:06 UTC;2020-05-27 17:31:00 UTC;-278.150.044;-503.259.839;RUA PRES NEREU RAMOS, 120, CENTRO, LAGES - SC 88502170 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/LGS/03/CD, ANDAR/LGS/03/XX, ANDAR/LGS/TT/01, ANDAR/LGS/TT/051 TX, ANDAR/LGS/TX/02, EST/LGS/NI/NI, GSM
VSDA;BA;LAURO DE FREITAS;VILAS DO ATLANTICO;Netwin;Instalado;2014-04-03 14:07:59 UTC;2019-09-07 10:04:08 UTC;-128.807.123;-383.117.502;AVENIDA SANTOS DUMONT, S/N, CENTRO, LAURO DE FREITAS - BA 42702902;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CX / 1ÂºANDAR, Datacom, EST/VSDA/NI/NI, Metro, Newbridge, TRANSMISSAO - 1 ANDAR
CNW;MG;LAVRAS;CENTRO;Netwin;Instalado;2014-04-05 20:45:51 UTC;2022-10-17 20:30:14 UTC;-212.385.951;-449.961.311;RUA SATURNINO DE PADUA, 287, CENTRO, LAVRAS - MG 37200170 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/CNW/NI/NI, LAV01_COMUTACAO- AXE, LAV01_CX_ELL_AXE, Metro, Newbridge, TERREO-TX, TRANSMISSAO-TERREO, TRANSMISSÃƒO
LPD;MG;LEOPOLDINA;LEOPOLDINA;Netwin;Instalado;2014-04-05 20:45:50 UTC;2019-05-23 19:57:23 UTC;-215.318.693;-426.400.574;RUA BARAO DE COTEGIPE, 52, CENTRO, LEOPOLDINA - MG 36700084;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/LPD/NI/NI, LPD01_COMUTACAO - AXE, Metro, Newbridge, RMS, TRANSMISSAO-TERREO, TRANSMISSÃƒO - TÃ‰RREO
LDA;PR;LONDRINA;LDA -LONDRINA;Netwin;Instalado;2016-08-21 15:07:06 UTC;2020-09-24 15:13:27 UTC;-233.137.269;-51.161.715;RUA PROF JOAO CANDIDO, 556, CENTRO, LONDRINA - PR 86010000 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/LDA/TT/01, ANDAR/LDA/TT/DAD, ANDAR/LDA/TT/TX, EST/LDA/NI/NI
LDI;PR;LONDRINA;LDI;Netwin;Instalado;2023-03-23 15:13:59 UTC;2023-04-05 20:10:17 UTC;-23.301.714;-51.195.394;;Não;Sala, Sala;
LDR;PR;LONDRINA;LDR;Netwin;Instalado;2023-03-23 17:12:14 UTC;2023-03-23 17:15:59 UTC;-23.260.351;-51.158.722;;Não;Sala, Sala;
LOA;PR;LONDRINA;LOA;Netwin;Instalado;2023-03-23 17:24:43 UTC;2023-03-23 17:26:54 UTC;-23.318.728;-5.112.517;;Não;Sala, Sala;
LOD;PR;LONDRINA;LOD;Netwin;Instalado;2023-03-23 17:21:21 UTC;2023-03-23 17:23:00 UTC;-23.370.647;-51.141.911;;Não;Sala, Sala;
LON;PR;LONDRINA;LON;Netwin;Instalado;2023-03-23 17:17:13 UTC;2023-03-23 17:20:26 UTC;-23.347.278;-51.201.746;;Não;Sala, Sala;
MIOO;BA;LUIS EDUARDO MAGALHAES;MIOO LUIS EDUARDO MAGALHAES;Netwin;Instalado;2021-09-29 17:30:29 UTC;2021-09-29 17:37:37 UTC;-120.884.259;-457.953.058;RUA PIAUI, SN, CENTRO, LUIS EDUARDO MAGALHAES - BA 47850043;Não;Sala, Sala;EST/MIOO/NI/NI
MCE;RJ;MACAE;MACAE I;Netwin;Instalado;2014-04-05 20:53:09 UTC;2022-07-27 12:25:47 UTC;-223.718.398;-417.794.107;;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 4 ANDAR, CX_ISA01_ZETAX-4 ANDAR, Datacom, EST/MCE/NI/NI, HUAWEI - NGN / 4 ANDAR, MODEM OPTICO FICTICIO, Metro, NGN-ALCATEL, Newbridge, RADIOS ANATEL, RMS, SALA 1, TRANSMISSAO - 4 ANDAR (411), TRANSMISSÃƒO
CBN;AP;MACAPA;Macapa;Netwin;Instalado;2023-03-02 13:50:14 UTC;2023-05-17 18:41:34 UTC;0.0297519;-511.120.944;;Não;;
CJF;AP;MACAPA;JARDIM FELICIDA;Netwin;Instalado;2014-04-05 19:37:21 UTC;2020-08-24 01:51:53 UTC;0.0932226;-510.647.991;RODOVIA BR 210, 2348, BONE AZUL, MACAPA - AP 68909516;Não;Sala, Sala, Sala, Sala, Sala, Sala;CX_AXE-ACTO1/TERREO, DADOS/TERREO, Datacom, EST/CJF/NI/NI, Newbridge, TRANSMISSAO - TERREO
CTO;AP;MACAPA;CENTRO;Netwin;Instalado;2018-12-27 13:31:40 UTC;2023-12-20 12:16:48 UTC;0.039232;-510.573.765;AVENIDA DE CAXIAS, 106, CENTRAL, MACAPA - AP 68900071 ;Sim;Sala, Sala;EST/CTO/NI/NI
FA;AL;MACEIO;FAROL;Netwin;Instalado;2014-04-03 00:00:00 UTC;2019-11-21 17:45:34 UTC;-96.267.552;-35.740.035;RUA ARSENIO FORTES, 186, PINHEIRO, MACEIO - AL 57057300;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;1Â° ANDAR - Transmissão, CX_ELR_EWSD- FAR03 /1 ANDAR, CX_TROPICO 7 IP TERREO, DG, Datacom, EST/FA/NI/NI, FAR02_COMUTACAO-TROPICO RA, HUAWEI - NGN / 1 ANDAR, IPA, MGW - ALCATEL, Metro, Newbridge, RMS, TRANSMISSAO - 1 ANDAR, TRANSMISSAO - TERREO, TRANSMISSÃƒO - 1Âº AND, TRANSMISSÃƒO-1Âº ANDAR, TX, Transmissao
JT;AL;MACEIO;JATIUCA;Netwin;Instalado;2014-04-03 00:00:00 UTC;2023-12-20 11:40:46 UTC;-96.492.191;-357.100.776;RUA EMPRESARIO CARLOS SILVA NOGUEIRA, 1000, JATIUCA, MACEIO - AL 57036540 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;BACKBONE II NACIONAL, COMUNICACAO  DE DADOS, Comunicacao de Dados, Datacom, EST/JT/NI/NI, HUAWEI - NGN, JT01_COMUTACAO-EWSD, MOVEL, Metro, Newbridge, PTS 7IP /TROPICO /, RMS, SALA GPON, TRANSMISSAO 01/TERREO, TRANSMISSAO 02/TERREO, TRANSMISSAO 1, TX
TM;AL;MACEIO;[TM] - TABULEIRO;Netwin;Instalado;2014-04-03 14:07:57 UTC;2022-07-11 19:32:22 UTC;-95.825.503;-357.653.475;AVENIDA DOUTOR DURVAL DE GOES MONTEIRO, 2002, TABULEIRO DO MARTINS, MACEIO - AL 57081285;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS, Comunicacao de Dados, Datacom, EST/TM/NI/NI, Metro, Newbridge, RMS, TAB01_COMUTACAO-TROPICO RA, TRANSMISSAO - TERREO
VFA;AL;MACEIO;ACQUISITION_FA;Netwin;Instalado;2026-03-02 13:54:03 UTC;2026-03-03 04:30:41 UTC;-96.231.581;-35.738.299;AVENIDA FERNANDES LIMA, 3074, GRUTA DE LOURDES, MACEIO - AL 57052400 ;Não;Sala;TX
CDA;AM;MANAUS;CIDADE DE DEUS;Netwin;Instalado;2014-04-05 19:37:31 UTC;2014-04-05 19:37:31 UTC;-30.132.954;-5.994.929;RUA MARIA LIMA DA SILVA, 1039, CIDADE DE DEUS, MANAUS - AM 69099473;Não;Sala, Sala, Sala, Sala;CDA01_COMUTACAO-TROPICO RA, Datacom, EQUIPAMENTOS, EST/CDA/NI/NI
CE;AM;MANAUS;CENTRO;Netwin;Instalado;2019-02-14 17:17:26 UTC;2023-12-20 12:13:41 UTC;-31.266.493;-600.201.673;AVENIDA GETULIO VARGAS, 950, CENTRO, MANAUS - AM 69020011;Sim;Sala, Sala;EST/CE/NI/NI, TX
CN;AM;MANAUS;CIDADE NOVA;Netwin;Instalado;2019-03-18 14:40:25 UTC;2022-07-11 19:29:33 UTC;-3.029.725;-59.977.146;AVENIDA NOEL NUTELS, 0, CIDADE NOVA, MANAUS - AM 69090000 ;Não;Sala, Sala;TX
DC;AM;MANAUS;DISTRITO CEASA;Netwin;Instalado;2022-01-27 17:57:10 UTC;2022-05-17 21:25:01 UTC;-31.041.107;-599.565.399;AVENIDA BURITI, 5100, DISTRITO INDUST I, MANAUS - AM 69098162;Não;Sala, Sala;GPON, TX
FOX;AM;MANAUS;MNS_FOX;Netwin;Instalado;2020-08-19 16:58:50 UTC;2020-08-31 16:57:03 UTC;-31.263.955;-599.701.092;AVENIDA ACAI, 1580, DISTRITO INDUSTRIAL, MANAUS - AM 69075020;Não;Sala;
JO;AM;MANAUS;JOSE OPERARIO;Netwin;Instalado;2014-04-05 19:37:30 UTC;2022-09-08 10:48:22 UTC;-30.663.301;-599.523.524;AVENIDA AUTAZ MIRIM, 1, SAO JOSE OPERARIO, MANAUS - AM 69085000;Não;Sala, Sala, Sala, Sala, Sala, Sala;CX_TROPICO RA-AX0O1/TERREO, Datacom, EST/JO/NI/NI, NEWBGRIDGE, Newbridge, TRANSMISSAO - TERREO
PA;AM;MANAUS;PARAÃBA;Netwin;Instalado;2017-01-24 01:00:00 UTC;2023-12-20 12:15:22 UTC;-30.900.105;-600.084.853;AVENIDA JORNALISTA UMBERTO C FILHO, 0, ADRIANOPOLIS, MANAUS - AM 69057015 ;Sim;Sala, Sala;EST/PA/NI/NI
PN;AM;MANAUS;PONTA NEGRA;Netwin;Instalado;2018-06-06 17:24:02 UTC;2018-09-21 17:44:53 UTC;-30.728.281;-600.746.107;RUA PROJETADA, 159, PONTA NEGRA, MANAUS - AM 69037000;Não;Sala, Sala, Sala;EST/PN/NI/NI, SALA GPON
SE;AM;MANAUS;SANTA ETELVINA;Netwin;Instalado;2014-04-05 19:37:30 UTC;2022-06-10 11:20:08 UTC;-29.865.149;-600.175.606;RUA JARDIM DO NORTE, 1127, SANTA ETELVINA, MANAUS - AM 69059570;Não;Sala, Sala, Sala, Sala;Datacom, EQUIPAMENTOS, EST/SE/NI/NI
TQ;AM;MANAUS;TORQUATO;Netwin;Instalado;2019-04-03 12:32:35 UTC;2019-10-18 14:29:58 UTC;-30.566.718;-600.278.809;RUA COMANDANTE HENRIQUE BASTOS, 5465, DA PAZ, MANAUS - AM 69049070;Não;Sala, Sala;EST/TQ/NI/NI
IBIC;RJ;MANGARATIBA;IBICUI I;Netwin;Instalado;2014-04-05 20:53:10 UTC;2022-08-23 18:12:48 UTC;-229.605.992;-440.253.328;RUA DOUTOR CESARIO DE MELO, 60, MANGARATIBA, MANGARATIBA - RJ 23860000 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;1Âº ANDAR - TX, COMUNICACAO DE DADOS 1 ANDAR, CX_IBI01_ZETAX-TERREO, Datacom, EST/IBIC/NI/NI, MODEM OPTICO FICTICIO, Newbridge, TRANSMISSAO-1 ANDAR
POBL;RJ;MANGARATIBA;PORTO BELO I;Netwin;Instalado;2015-09-24 12:09:06 UTC;2020-07-24 14:05:03 UTC;-229.507.234;-440.729.579;RODOVIA RIO SANTOS MGB, SN, MANGARATIBA, MANGARATIBA - RJ 23860000;Não;Sala, Sala, Sala, Sala;EQUIPAMENTO TERREO (AT), EST/POBL/NI/NI, MODEM OPTICO FICTICIO
PRR1;RJ;MANGARATIBA;PORTO REAL RESORT;Netwin;Instalado;2019-12-18 09:26:11 UTC;2019-12-27 20:24:41 UTC;-230.357.999;-441.521.547;RODOVIA RIO SANTOS, SN, CONC JACAREI, MANGARATIBA - RJ 23885000;Não;Sala, Sala;EST/PRR1/NI/NI
VIMU;RJ;MANGARATIBA;VILA MURIQUI I;Netwin;Instalado;2014-04-05 20:53:10 UTC;2022-10-11 20:41:37 UTC;-22.924.564;-439.480.312;RUA RIO DE JANEIRO, 236, CENTRO, MANGARATIBA - RJ 23870000 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/VIMU/NI/NI, Metro, Newbridge, TERREO - TX, TRANSMISSAO - 2 ANDAR, TRANSMISSÃƒO, VIM01_CX_ ZETAX - 2 ANDAR
AMP;PA;MARABA;AMAPAZINHO   MARABA II;Netwin;Instalado;2014-04-05 19:37:28 UTC;2020-01-13 12:38:25 UTC;-53.672.935;-49.125.621;AVENIDA SOL POENTE, 1200, CIDADE NOVA, MARABA - PA 68501670;Não;Sala, Sala, Sala, Sala, Sala;CX_TROPICO RA_MBA02/TERREO, Datacom, EST/AMP/NI/NI, Newbridge, TRANSMISSAO - TERREO
NBA;PA;MARABA;NOVA MARABA   MARABA III;Netwin;Instalado;2014-04-05 19:37:28 UTC;2023-12-20 12:33:24 UTC;-53.399.886;-490.919.632;QUADRA ESPECIAL FL 17, SN, NOVA MARABA, MARABA - PA 68505551 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CX_TROPICO RA_MBA04/TERREO, Datacom, EQUIPAMENTOS, EST/NBA/NI/NI, Metro, Newbridge, SATÃ‰LITE, TRANSMISSAO - TERREO, TRANSMISSÃƒO - TÃ‰RREO, TX
MCCE;MS;MARACAJU;Centro;Netwin;Instalado;2021-05-06 19:17:07 UTC;2021-09-23 14:47:05 UTC;-21.622.697;-551.575.184;RUA FRANCISCO MARCONDES, 341, CENTRO, MARACAJU - MS 79150000 ;Não;Sala, Sala, Sala;ANDAR/MCCE/TT/1TX, EST/MCCE/NI/NI
MRA;RS;MARAU;MARAU;Netwin;Instalado;2016-08-21 15:07:06 UTC;2021-06-11 17:47:45 UTC;-284.500.893;-522.006.248;AVENIDA BR DO RIO BRANCO, 880, CENTRO, MARAU - RS 99150000 ;Não;Sala, Sala, Sala;ANDAR/MRA/01/TX, EST/MRA/NI/NI
MRH;PR;MARECHAL CANDIDO RONDON;MAL CANDIDO RONDOM-R ESPIRITO SANTO,935;Netwin;Instalado;2020-06-25 12:16:10 UTC;2022-04-13 17:26:30 UTC;-245.585.155;-540.576.883;RUA ESPIRITO SANTO, 935, CENTRO, MARECHAL CANDIDO RONDON - PR 85960000;Não;Sala, Sala, Sala, Sala;ANDAR/MRH/TT/01, ANDAR/MRH/TT/TX, EST/MRH/NI/NI, SALA DE EQUIPAMENTOS
MHD;AL;MARECHAL DEODORO;[MHD] - MARECHAL DEODORO;Netwin;Instalado;2014-04-03 14:07:56 UTC;2021-11-24 15:18:31 UTC;-97.191.547;-358.961.904;RUA BERNARDINO SOUTO, sn, JOSE DIAS, MARECHAL DEODORO - AL 57160000 ;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EST/MHD/NI/NI, Metro, TRANSMISSAO - TERREO, Transmissao
IPCU;RJ;MARICA;ITAIPUACU I;Netwin;Instalado;2014-04-05 20:53:11 UTC;2021-07-22 17:40:17 UTC;-22.964.817;-429.644.564;RUA VAN LERBERGUE, QU12, JD ATLANTICO OESTE, MARICA - RJ 24935440;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EST/IPCU/NI/NI, MODEM OPTICO FICTICIO, TRANSMISSAO - 1 ANDAR
MRC;RJ;MARICA;MARICA I;Netwin;Instalado;2014-04-05 20:53:11 UTC;2021-06-23 12:59:06 UTC;-229.187.115;-428.180.091;RUA ABREU RANGEL, SN, CENTRO, MARICA - RJ 24900890;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS, Datacom, EST/MRC/NI/NI, MODEM OPTICO FICTICIO, MRC01_COMUTACAO-TROPICO R, Metro, Newbridge, RADIOS ANATEL, RMS, TRANSMISSAO - TERREO, TX
MGAC;PR;MARINGA;MARINGA/ACEMA-R DOMINGOS MIAO, 81;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-232.531;-515.619;;Não;Sala, Sala, Sala;ANDAR/MGAC/01/TX, ANDAR/MGAC/TT/01, EST/MGAC/NI/NI
MGNM;PR;MARINGA;MGA/NEO MARTINS R NEO ALVES MARTINS;Netwin;Instalado;2016-08-21 15:07:06 UTC;2025-06-05 18:53:31 UTC;-234.225.284;-519.354.806;RUA NEO ALVES MARTINS, 2250, ZONA 01, MARINGA - PR 87013060 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/MGNM/01/01, ANDAR/MGNM/02/TX, ANDAR/MGNM/04/TX, ANDAR/MGNM/ACCESS/01, ANDAR/MGNM/TT/01, ANDAR/MGNM/TT/02, ANDAR/MGNM/TT/03, ANDAR/MGNM/TT/TX, ANDAR/MGNM/TT/TXD, EST/MGNM/NI/NI
MDN;PR;MEDIANEIRA;MEDIANEIRA;Netwin;Instalado;2021-05-10 11:25:37 UTC;2021-06-21 18:49:28 UTC;-252.937.995;-54.095.252;RUA ARGENTINA, 1577, CENTRO, MEDIANEIRA - PR 85720035;Não;Sala, Sala, Sala;ANDAR/MDN/TT/01, ANDAR/MDN/TT/TX, TX
MCZ;SP;MOGI DAS CRUZES;VTAL JARDIM ARMENIA;Netwin;Instalado;2022-05-18 17:14:42 UTC;2022-11-16 19:46:56 UTC;-235.419.687;-461.935.905;AVENIDA PEDRO MACHADO, 823, MOGI MODERNO, MOGI DAS CRUZES - SP 8717720 ;Não;Sala;SALA TX
MDC;SP;MOGI DAS CRUZES;VTAL JARDIM SAO PEDRO;Netwin;Instalado;2023-01-12 13:32:41 UTC;2023-10-02 20:49:43 UTC;-235.108;-4.613.946;RUA MARIA LUNARDI GAGGIOLI, 263, JARDIM SAO PEDRO, MOGI DAS CRUZES - SP 8830070 ;Não;Sala;SALA TX
MGC;SP;MOGI DAS CRUZES;VTAL MGC FTTH;Netwin;Instalado;2023-03-07 14:35:09 UTC;2023-03-31 14:04:06 UTC;-23.523.785;-46.190.615;;Não;Sala;SALA TX
MZS;SP;MOGI DAS CRUZES;VTAL MZS FTTH;Netwin;Instalado;2023-01-14 12:59:35 UTC;2023-02-24 18:57:12 UTC;-235.607.273;-462.069.004;;Não;Sala;SALA TX
MGO;RS;MONTENEGRO;MGO;Netwin;Instalado;2022-11-04 00:00:00 UTC;2023-01-04 19:30:22 UTC;-296.899.292;-514.588.491;RUA RAMIRO BARCELOS, 1507, CENTRO, MONTENEGRO - RS 92510110 ;Não;Sala, Sala;ANDAR/MGO/01/TX
CEN;MG;MONTES CLAROS;CENTRODIGITAL;Netwin;Instalado;2014-04-05 20:45:55 UTC;2018-09-25 12:18:12 UTC;-1.672.397;-438.664.275;RUA PADRE AUGUSTO, 164, CENTRO, MONTES CLAROS - MG 39400053;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CEN, CX, Datacom, EST/CEN/NI/NI, HUAWEI - NGN, MCL01_COMUTACAO_AXE, Metro, Newbridge, RMS, TRANSMISSAO - 3 ANDAR, TRANSMISSAO -TERREO, TRANSMISSÃƒO, TRANSMISSÃƒO - TERREO, Transmissão
MIH;GO;MORRINHOS;MORRINHOS;Netwin;Instalado;2016-08-21 15:07:06 UTC;2023-12-20 13:10:16 UTC;-177.317.919;-491.078.194;RUA PARA Q 66, SN, SETOR CENTRAL, MORRINHOS - GO 75650000 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/MIH/TT/01, ANDAR/MIH/TT/1, ANDAR/MIH/TT/TX, EST/MIH/NI/NI, TX
MRO1;RN;MOSSORO;SALA RADIO MRO SEDE;Netwin;Instalado;2022-05-20 14:11:13 UTC;2022-08-11 20:13:20 UTC;-51.919.171;-373.403.606;AVENIDA DIX SEPT ROSADO, 56, CENTRO, MOSSORO - RN 59600050;Não;;
MRE;MG;MURIAE;MURIAE;Netwin;Instalado;2014-04-05 20:45:59 UTC;2022-10-17 20:41:42 UTC;-211.312.291;-423.680.081;RUA CORONEL DOMICIANO, 30, CENTRO, MURIAE - MG 36880013;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/MRE/NI/NI, Metro, Newbridge, RMS, TRANSMISSAO, TRANSMISSAO-TERREO, TRANSMISSÃƒO
ALM;RN;NATAL;ALECRIM;Netwin;Instalado;2014-04-05 19:37:22 UTC;2023-12-19 11:11:25 UTC;-58.004.763;-352.156.276;RUA DOS CANINDES, 1921, ALECRIM, NATAL - RN 59030600 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS / 1 ANDAR, DG / TERREO, Datacom, EST/ALM/NI/NI, HUAWEI - NGN / 2 ANDAR, MGW - ALCATEL / TERREO, Metro, NGN, Newbridge, PTS 7IP / TROPICO / 1 ANDAR, RMS, TRANSMISSAO / TERREO, TRANSMISSÃƒO, TRANSMISSÃƒO - TÃ‰RREO, TRANSMISSÃƒO/2Âº ANDAR, TX 02
CTO;RN;NATAL;CENTRO;Netwin;Instalado;2014-04-05 19:37:21 UTC;2019-12-26 14:34:47 UTC;-57.897.672;-352.016.653;AVENIDA PRUDENTE DE MORAIS, 757, TIROL, NATAL - RN 59020904;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;BACKBONE II NEC / 8 ANDAR, COMUN. DE DADOS / 3 ANDAR, COMUN. DE DADOS / 8 ANDAR, CTO01_COMUTACAO_EWSD, DG / TERREO, Datacom, EST/CTO/NI/NI, HUAWEI - NGN / 8 ANDAR, MGW - ALCATEL / 8 ANDAR, Metro, MÃ³vel, NOSSA AGENCIA / 3 ANDAR, Newbridge, PTS 7IP /TROPICO / 6 ANDAR, RICD, RMS, TRANSMISSAO - 8 ANDAR, TRANSMISSAO - TERREO, TRANSMISSÃƒO-8Âº ANDAR, TX, TX - 4Âº ANDAR, TX / TÃ‰RREO
IGP;RN;NATAL;IGAPO;Netwin;Instalado;2014-04-05 19:37:21 UTC;2022-06-13 10:52:47 UTC;-57.734.891;-352.543.518;AVENIDA DOUTOR JOAO MEDEIROS FILHO, SN, IGAPO, NATAL - RN 59104095;Não;Sala, Sala, Sala, Sala, Sala, Sala;DADOS / TERREO, Datacom, EST/IGP/NI/NI, IGP01_TROPICO RA, Newbridge, TRANSMISSAO / TERREO
SAT;RN;NATAL;SATELITE;Netwin;Instalado;2014-04-05 19:37:22 UTC;2020-04-15 12:28:01 UTC;-58.645.773;-352.315.928;RUA PEROBA, SN, PITIMBU, NATAL - RN 59068490;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EST/SAT/NI/NI, Metro, RSAT1_TROPICO RA, TRANSMISSAO - TERREO
NVG;SC;NAVEGANTES;NAVEGANTES;Netwin;Instalado;2021-05-10 12:02:00 UTC;2021-07-16 17:33:20 UTC;-268.976.837;-486.472.243;AVENIDA PREF JOSE JUVENAL MAFRA, 450, CENTRO, NAVEGANTES - SC 88370112 ;Não;Sala, Sala, Sala;ANDAR/NVG/TT/003, ANDAR/NVG/TT/01
NLP;RJ;NILOPOLIS;NILOPOLIS I;Netwin;Instalado;2014-04-05 20:53:14 UTC;2018-04-09 19:21:06 UTC;-228.084.818;-434.143.243;ESTRADA ROBERTO SILVEIRA, 28, OLINDA, NILOPOLIS - RJ 26545770;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 1 ANDAR, Datacom, EST/NLP/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, SALA GPON, TRANSMISSAO - 1 ANDAR, TX - TERREO
FSA;RJ;NITEROI;FONSECA;Netwin;Instalado;2014-04-05 20:53:15 UTC;2021-11-25 11:56:36 UTC;-22.877.899;-430.866.716;RUA SAO JANUARIO, 240, FONSECA, NITEROI - RJ 24130386;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/FSA/NI/NI, FSA02_COMUTACAO-CENTRAL AXE, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 1 ANDAR, TRANSMISSAO - 2 ANDAR - SL 1, ZTX-610 - 2704 / 2 ANDAR
ICI;RJ;NITEROI;ICARAÃ;Netwin;Instalado;2013-03-28 00:00:00 UTC;2017-01-23 20:05:00 UTC;-22.905.499;-431.057.989;RUA CINCO DE JULHO, 237, ICARAI, NITEROI - RJ 24220110;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;4Âº ANDAR - SALA RICD, COM. DE DADOS 6 AND/ SL01-TX, COMUNI. DE DADOS 4 AND. /SL02, Datacom, ELR-II /FSA-2704 / AXE / 5AND, EST/ICI/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, Sala 1, TRANSMISSAO - 6 ANDAR
ITPU;RJ;NITEROI;ITAIPU I;Netwin;Instalado;2013-03-27 23:00:00 UTC;2018-04-11 12:31:10 UTC;-2.294.816;-430.308.208;ESTRADA FRANCISCO DA CRUZ NUNES, 2656, ITAIPU, NITEROI - RJ 24340000;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/ITPU/NI/NI, Metro, Newbridge, RMS, SALA GPON
MPA;RJ;NITEROI;MARIA PAULA I;Netwin;Instalado;2014-04-05 20:53:15 UTC;2021-12-20 18:07:12 UTC;-22.892.157;-431.200.947;ESTRADA VELHA DE MARICA, SN, MARIA PAULA, NITEROI - RJ 24325330 ;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EST/MPA/NI/NI, MODEM OPTICO FICTICIO, Metro, TRANSMISSAO - 1 ANDAR
