ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
HGA;MG;BELO HORIZONTE;HELIO GOMES DO AMARAL;Netwin;Instalado;2014-04-05 20:46:09 UTC;2019-05-08 19:09:07 UTC;-199.204.007;-439.392.264;RUA DOS TAMOIOS, 311, CENTRO, BELO HORIZONTE - MG 30120050;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;3Âº ANDAR - TX, 7IP HGA_COMUTACAO_TROPICO, CENTRO DE AUDIO, DADOS, DADOS / 5ANDAR, DADOS / SALA NOVA / 5ANDAR, Datacom, EWSD, HUAWEI - NGN, Metro, NGN, Newbridge, PNCV, PTS-HGA GRANPAR, REDE MULTISERVICO /9 ANDAR, RI, RI - Rede Inteligente, RICD, RMS, RMS, SALA GVT, SALA VISANET 5 ANDAR, SDR, TRANSMISSAO /SL.NOVA 6 ANDAR, TRANSMISSAO /SL.VELHA 5 ANDAR, TRANSMISSÃƒO - TÃ‰RREO, TRANSMISSÃƒO /SL.VELH, TX SALA NOVA/6Â°ANDAR, TX-04, TX-04 - 6 ANDAR, TX-04/6Â°ANDAR
MPI;MG;BELO HORIZONTE;MÃRIO PIRES;Netwin;Instalado;2012-03-23 00:00:00 UTC;2017-01-23 20:03:00 UTC;-199.399.935;-439.267.741;PRACA MILTON CAMPOS, 16, SERRA, BELO HORIZONTE - MG 30130040;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;7IP MPI_COMUTACAO_TROPICO, ALCATEL - NGN / 3 ANDAR, CPD, CPD/DDR, DADOS 5ANDAR, Datacom, EST/MPI/04/NI, EST/MPI/4/DATACENTER, EST/MPI/4Â°/RICD, EST/MPI/4Âº/RICD, EST/MPI/NI/NI, GPOM / 5ÂºANDAR, HUAWEI - NGN /  5 ANDAR, IU, IU-3 ANDAR, LOCAL/TRANSMISSAO, Metro, NGN, Newbridge, PCM - 3Âº ANDAR, PTS - MPI, REDE MULTISERVICO - ADSL, RICD, RMS, SALA DO SITE BHE 001, SALA IU, SALA VISANET 3 ANDAR, Sala 1, TIM, TRANSMISSAO NOVA - 3 ANDAR, TRANSMISSÃƒO - TÃ‰RREO, TX - 3Âº ANDAR
NAC;MG;BELO HORIZONTE;NACIONAL;Netwin;Instalado;2014-04-05 20:46:09 UTC;2022-05-12 20:40:58 UTC;-198.496.847;-440.229.093;RUA QUINTINO BOCAIUVA, 225, PEDRA AZUL, BELO HORIZONTE - MG 32185000;Não;Sala, Sala, Sala, Sala;Datacom, EST/NAC/NI/NI, Metro
PAM;MG;BELO HORIZONTE;PAMPULHA;Netwin;Instalado;2014-04-05 20:46:09 UTC;2019-08-09 14:23:04 UTC;-198.563.462;-439.626.742;ALAMEDA DAS FALCATAS, 99, SAO LUIZ, BELO HORIZONTE - MG 31275070;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUTACAO ANALOGICA, DADOS, Datacom, EST/PAM/NI/NI, Metro, Newbridge, RMS, TX / TÃ‰RREO, TX. NOVA, TX. VELHA, TÃ‰RREO / SALA PCM
SAV;MG;BELO HORIZONTE;SAVASSI;Netwin;Instalado;2012-03-23 00:00:00 UTC;2015-12-04 15:58:00 UTC;-199.325.199;-439.338.724;RUA PERNAMBUCO, 607, SAVASSI, BELO HORIZONTE - MG 30130153;Não;Sala;TRANSMISSAO/COMUTACAO
SCR;MG;BELO HORIZONTE;SAO CRISTOVAO;Netwin;Instalado;2014-04-05 20:46:08 UTC;2022-11-30 20:09:31 UTC;-199.023.324;-43.942.481;RUA FORMIGA, 555, SAO CRISTOVAO, BELO HORIZONTE - MG 31110430 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;442, 444, Datacom, EST/SCR/NI/NI, Metro, Newbridge, PCM 8 / TÃ‰RREO, RJO, TRANSMISSAO - TERREO
SIO;MG;BELO HORIZONTE;SIO;Netwin;Instalado;2012-03-23 17:58:24 UTC;2020-11-09 12:12:19 UTC;-199.547.224;-439.381.937;RUA COSTA RICA, 102, SION, BELO HORIZONTE - MG 30320030;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS - ADSL, Datacom, EST/SIO/NI/NI, Metro, Newbridge, Sala 1, TRANSMISSAO/COMUTACAO
STE;MG;BELO HORIZONTE;SANTA TEREZA;Netwin;Instalado;2014-04-05 20:46:09 UTC;2020-06-23 20:28:01 UTC;-199.149.495;-439.194.501;RUA SALINAS, 1639, SANTA TEREZA, BELO HORIZONTE - MG 31015115;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;461/3, COMUTAÃ‡ÃƒO / 2ÂºANDAR, DADOS, Datacom, EST/STE/NI/NI, Metro, Newbridge, PCM, RMS, STE02_COMUTACAO-EWSD, TRANSMISSÃƒO - TÃ‰RREO, TÃ‰RREO-SALA PCM
VNO;MG;BELO HORIZONTE;VENDA NOVA;Netwin;Instalado;2015-08-21 15:07:06 UTC;2020-04-29 19:03:02 UTC;-198.124.955;-439.626.752;RUA PADRE PEDRO PINTO, 1460, VENDA NOVA, BELO HORIZONTE - MG 31615310;Não;Sala, Sala, Sala;EST/VNO/NI/NI
BET;MG;BETIM;BETIM;Netwin;Instalado;2014-04-05 20:46:10 UTC;2019-03-04 11:09:09 UTC;-199.694.029;-442.001.148;AVENIDA PRESIDENTE KUBITSCHEK, 162, CENTRO, BETIM - MG 32600226;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;BET03_COMUTACAO-TROPICO RA, DADOS, Datacom, EQUIPAMENTOS, HUAWEI - NGN, Metro, Newbridge, RMS, TX
